latitude,longitude,nkill
12.852693,44.894836,2
12.852693,44.894836,1
-1.28518,36.821107,224
-6.813546,39.239418,11
12.825647,44.846416,0
12.825647,44.846416,19
40.697132,-73.931351,1385
40.697132,-73.931351,1385
38.878742,-77.100006,190
40.018464,-78.907197,44
48.856644,2.34233,0
33.671638,73.056068,5
34.417122,70.449593,10
33.819136,10.855024,21
24.891115,67.143311,14
31.002735,66.405617,19
31.631083,65.742226,3
34.516895,69.147011,10
25.389288,68.357338,1
12.533136,47.922339,1
34.417122,70.449593,0
31.631083,65.742226,0
-4.090508,39.647758,16
-4.041179,39.677612,0
34.516895,69.147011,0
34.417122,70.449593,0
34.417122,70.449593,0
34.417122,70.449593,0
31.631083,65.742226,3
31.631083,65.742226,0
34.417122,70.449593,0
34.417122,70.449593,0
31.631083,65.742226,0
24.64732,46.714581,12
24.64732,46.714581,11
24.64732,46.714581,11
24.64732,46.714581,0
34.516895,69.147011,6
31.60063,64.369652,17
16.893194,42.57526,4
33.303566,44.371773,7
24.64732,46.714581,17
41.106178,28.689863,16
41.106178,28.689863,16
33.594013,73.069077,15
40.465595,-3.696263,37
40.465595,-3.696263,73
40.465595,-3.696263,19
40.465595,-3.696263,0
40.465595,-3.696263,0
40.465595,-3.696263,62
34.006004,71.53743,0
24.089097,38.063963,10
26.218399,50.195902,22
32.687926,69.832993,0
32.306099,69.579956,24
24.64732,46.714581,1
24.64732,46.714581,1
32.386811,69.689823,1
32.306099,69.579956,2
33.744999,45.545616,50
33.303566,44.371773,3
33.303566,44.371773,1
33.303566,44.371773,13
21.543155,39.174905,9
33.303566,44.371773,2
35.064873,43.551613,0
32.622868,69.839325,1
24.64732,46.714581,8
33.303566,44.371773,2
33.303566,44.371773,2
34.621521,43.668377,8
30.510054,47.778095,3
33.303566,44.371773,0
36.354145,43.14357,12
33.303566,44.371773,21
32.777344,44.289352,18
33.74324,44.623825,3
33.303566,44.371773,7
33.303566,44.371773,9
34.010471,44.148235,16
33.74324,44.623825,11
35.45211,44.375465,0
36.354145,43.14357,4
32.000596,44.330818,1
33.303566,44.371773,20
33.303566,44.371773,1
33.31065,44.038208,10
34.621521,43.668377,6
33.303566,44.371773,3
33.303566,44.371773,3
33.303566,44.371773,4
33.303566,44.371773,3
33.303566,44.371773,22
33.420948,43.295662,1
33.303566,44.371773,15
33.303566,44.371773,1
33.303566,44.371773,1
33.303566,44.371773,2
33.303566,44.371773,11
32.469238,44.416637,34
32.469238,44.416637,27
31.631083,65.742226,21
33.303566,44.371773,1
33.303566,44.371773,3
33.303566,44.371773,23
33.303566,44.371773,5
33.303566,44.371773,2
33.303566,44.371773,20
32.469238,44.416637,8
33.303566,44.371773,0
33.303566,44.371773,0
33.303566,44.371773,0
33.303566,44.371773,0
51.504387,-0.140041,8
51.504387,-0.140041,27
51.504387,-0.140041,7
51.504387,-0.140041,14
33.303566,44.371773,1
33.287345,44.319487,25
33.848618,44.522125,12
33.848618,44.522125,2
33.303566,44.371773,3
33.303566,44.371773,8
33.303566,44.371773,3
51.504387,-0.140041,0
33.303566,44.371773,2
51.504387,-0.140041,0
51.504387,-0.140041,0
51.504387,-0.140041,0
36.803982,42.093945,44
33.74324,44.623825,8
33.303566,44.371773,160
33.303566,44.371773,4
33.375759,44.702866,30
33.303566,44.371773,10
36.376823,42.448875,6
16.917494,43.762409,12
32.824731,70.067644,8
31.950001,35.933331,20
31.950001,35.933331,20
31.950001,35.933331,21
33.303566,44.371773,35
33.303566,44.371773,36
59.402479,17.944322,0
33.303566,44.371773,0
33.303566,44.371773,2
23.84422,89.049414,0
23.905927,89.054947,0
36.70993,67.1157,0
34.208416,43.890713,0
25.932228,49.664617,4
33.303566,44.371773,90
33.303566,44.371773,1
33.303566,44.371773,6
3.115641,43.64658,11
32.684554,70.009858,9
31.502407,34.459743,0
33.420948,43.295662,1
36.805258,3.813209,0
36.28611,5.60722,15
36.81694,3.85722,0
36.86318,3.88035,0
36.757011,3.482869,1
36.891243,4.123217,0
36.639167,4.383889,1
36.76029,3.472395,0
36.724419,3.619247,4
36.691273,3.588857,0
36.686703,4.266169,2
36.733333,3.966667,0
36.553405,3.108938,0
36.763763,3.055413,0
36.729435,3.498687,0
36.727778,3.553889,0
36.63709,3.69474,0
36.721944,3.913056,0
36.069432,1.989646,4
33.420948,43.295662,2
33.163559,43.863106,2
33.520717,44.024424,1
33.303566,44.371773,0
33.303566,44.371773,8
36.76029,3.472395,0
34.949444,6.003611,3
35.05,0.783333,15
36.763763,3.055413,30
33.303566,44.371773,8
36.770538,3.512263,2
33.59,-7.61,2
36.72398,3.670848,0
36.654051,3.679096,0
33.303566,44.371773,127
36.75,5.85,1
36.651559,3.328976,1
36.192589,44.004623,19
36.866667,6.9,2
36.85,6.05,0
36.35,6.6,1
33.773349,45.14945,16
36.716365,4.049834,0
36.604073,3.699024,0
33.74324,44.623825,3
35.303047,44.329933,0
33.303566,44.371773,1
36.742004,3.726194,1
36.686703,4.266169,1
36.35,6.6,0
36.35,6.6,0
36.8825,4.661944,3
33.693409,44.796085,15
32.874886,44.281016,15
33.74324,44.623825,1
34.208416,43.890713,0
34.790665,44.662151,18
36.747752,3.773732,0
55.863239,-4.427852,1
35.194012,6.915436,1
34.533753,43.483738,1
15.434043,45.48023,9
36.501,3.77396,1
36.536834,4.215102,0
36.562222,3.594444,11
36.891243,4.123217,1
33.006516,70.068253,25
36.691273,3.588857,0
36.63059,4.289494,3
36.56522,3.153934,0
36.202354,41.687168,250
36.183247,41.591599,250
36.748247,3.948864,0
34.208416,43.890713,3
33.74324,44.623825,0
35.024167,8.024722,6
33.594013,73.069077,18
35.55,6.166667,16
34.417522,3.831195,1
36.919552,3.891396,30
36.724419,3.619247,0
33.420948,43.295662,3
36.803501,3.563821,3
33.953167,44.921906,14
36.564444,3.154167,1
36.562222,3.594444,1
33.74324,44.623825,20
36.789167,3.677222,1
36.72398,3.670848,2
36.335801,4.262044,0
36.919552,3.891396,0
33.349159,43.784199,1
33.737099,44.490696,1
31.98958,44.923775,10
31.98958,44.923775,10
33.773349,45.14945,1
34.208416,43.890713,6
33.74324,44.623825,7
33.19392,44.408577,14
33.8925,44.709722,22
33.773349,45.14945,22
34.271034,45.163567,2
33.74324,44.623825,1
33.953167,44.921906,4
33.848618,44.522125,5
36.763763,3.055413,20
36.763763,3.055413,19
35.815556,43.443889,5
