latitude,longitude,Attacktype,Weapontype,Deaths
12.852693,44.894836,Bombing/Explosion,Explosives,2
12.852693,44.894836,Bombing/Explosion,Explosives,1
-1.28518,36.821107,Bombing/Explosion,Explosives,224
-6.813546,39.239418,Bombing/Explosion,Explosives,11
12.825647,44.846416,Bombing/Explosion,Explosives,0
12.825647,44.846416,Bombing/Explosion,Explosives,19
40.697132,-73.931351,Hijacking,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1385
40.697132,-73.931351,Hijacking,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1385
38.878742,-77.100006,Hijacking,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",190
40.018464,-78.907197,Hijacking,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",44
48.856644,2.34233,Bombing/Explosion,Explosives,0
33.671638,73.056068,Bombing/Explosion,Explosives,5
34.417122,70.449593,Bombing/Explosion,Explosives,10
33.819136,10.855024,Bombing/Explosion,Explosives,21
24.891115,67.143311,Bombing/Explosion,Explosives,14
31.002735,66.405617,Bombing/Explosion,Explosives,19
31.631083,65.742226,Assassination,Firearms,3
34.516895,69.147011,Bombing/Explosion,Explosives,10
25.389288,68.357338,Bombing/Explosion,Explosives,1
12.533136,47.922339,Bombing/Explosion,Explosives,1
34.417122,70.449593,Bombing/Explosion,Explosives,0
31.631083,65.742226,Bombing/Explosion,Explosives,0
-4.090508,39.647758,Bombing/Explosion,Explosives,16
-4.041179,39.677612,Bombing/Explosion,Explosives,0
34.516895,69.147011,Bombing/Explosion,Explosives,0
34.417122,70.449593,Bombing/Explosion,Explosives,0
34.417122,70.449593,Bombing/Explosion,Explosives,0
34.417122,70.449593,Bombing/Explosion,Explosives,0
31.631083,65.742226,Bombing/Explosion,Explosives,3
31.631083,65.742226,Bombing/Explosion,Explosives,0
34.417122,70.449593,Bombing/Explosion,Explosives,0
34.417122,70.449593,Bombing/Explosion,Explosives,0
31.631083,65.742226,Bombing/Explosion,Explosives,0
24.64732,46.714581,Bombing/Explosion,Explosives,12
24.64732,46.714581,Bombing/Explosion,Explosives,11
24.64732,46.714581,Bombing/Explosion,Explosives,11
24.64732,46.714581,Bombing/Explosion,Explosives,0
34.516895,69.147011,Bombing/Explosion,Explosives,6
31.60063,64.369652,Bombing/Explosion,Explosives,17
16.893194,42.57526,Armed Assault,Firearms,4
33.303566,44.371773,Bombing/Explosion,Explosives,7
24.64732,46.714581,Bombing/Explosion,Explosives,17
41.106178,28.689863,Bombing/Explosion,Explosives,16
41.106178,28.689863,Bombing/Explosion,Explosives,16
33.594013,73.069077,Assassination,Explosives,15
40.465595,-3.696263,Bombing/Explosion,Explosives,37
40.465595,-3.696263,Bombing/Explosion,Explosives,73
40.465595,-3.696263,Bombing/Explosion,Explosives,19
40.465595,-3.696263,Bombing/Explosion,Explosives,0
40.465595,-3.696263,Bombing/Explosion,Explosives,0
40.465595,-3.696263,Bombing/Explosion,Explosives,62
34.006004,71.53743,Bombing/Explosion,Explosives,0
24.089097,38.063963,Armed Assault,Firearms,10
26.218399,50.195902,Hostage Taking (Barricade Incident),Firearms,22
32.687926,69.832993,Bombing/Explosion,Explosives,0
32.306099,69.579956,Armed Assault,Firearms,24
24.64732,46.714581,Armed Assault,Firearms,1
24.64732,46.714581,Hostage Taking (Kidnapping),Melee,1
32.386811,69.689823,Bombing/Explosion,Explosives,1
32.306099,69.579956,Bombing/Explosion,Explosives,2
33.744999,45.545616,Armed Assault,Firearms,50
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Hostage Taking (Kidnapping),Firearms,1
33.303566,44.371773,Facility/Infrastructure Attack,Firearms,13
21.543155,39.174905,Armed Assault,Explosives,9
33.303566,44.371773,Bombing/Explosion,Explosives,2
35.064873,43.551613,Facility/Infrastructure Attack,Incendiary,0
32.622868,69.839325,Bombing/Explosion,Explosives,1
24.64732,46.714581,Bombing/Explosion,Explosives,8
33.303566,44.371773,Assassination,Firearms,2
33.303566,44.371773,Assassination,Firearms,2
34.621521,43.668377,Bombing/Explosion,Explosives,8
30.510054,47.778095,Bombing/Explosion,Explosives,3
33.303566,44.371773,Hostage Taking (Kidnapping),Firearms,0
36.354145,43.14357,Bombing/Explosion,Explosives,12
33.303566,44.371773,Bombing/Explosion,Explosives,21
32.777344,44.289352,Bombing/Explosion,Explosives,18
33.74324,44.623825,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,7
33.303566,44.371773,Assassination,Explosives,9
34.010471,44.148235,Bombing/Explosion,Explosives,16
33.74324,44.623825,Bombing/Explosion,Explosives,11
35.45211,44.375465,Bombing/Explosion,Explosives,0
36.354145,43.14357,Assassination,Explosives,4
32.000596,44.330818,Hostage Taking (Kidnapping),Unknown,1
33.303566,44.371773,Bombing/Explosion,Explosives,20
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.31065,44.038208,Bombing/Explosion,Explosives,10
34.621521,43.668377,Bombing/Explosion,Explosives,6
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,4
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,22
33.420948,43.295662,Hostage Taking (Kidnapping),Firearms,1
33.303566,44.371773,Bombing/Explosion,Explosives,15
33.303566,44.371773,Assassination,Firearms,1
33.303566,44.371773,Assassination,Firearms,1
33.303566,44.371773,Assassination,Firearms,2
33.303566,44.371773,Bombing/Explosion,Explosives,11
32.469238,44.416637,Bombing/Explosion,Explosives,34
32.469238,44.416637,Bombing/Explosion,Explosives,27
31.631083,65.742226,Bombing/Explosion,Explosives,21
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,23
33.303566,44.371773,Assassination,Firearms,5
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,20
32.469238,44.416637,Bombing/Explosion,Explosives,8
33.303566,44.371773,Bombing/Explosion,Explosives,0
33.303566,44.371773,Hostage Taking (Kidnapping),Firearms,0
33.303566,44.371773,Armed Assault,Firearms,0
33.303566,44.371773,Armed Assault,Firearms,0
51.504387,-0.140041,Bombing/Explosion,Explosives,8
51.504387,-0.140041,Bombing/Explosion,Explosives,27
51.504387,-0.140041,Bombing/Explosion,Explosives,7
51.504387,-0.140041,Bombing/Explosion,Explosives,14
33.303566,44.371773,Assassination,Firearms,1
33.287345,44.319487,Bombing/Explosion,Explosives,25
33.848618,44.522125,Armed Assault,Firearms,12
33.848618,44.522125,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,8
33.303566,44.371773,Assassination,Firearms,3
51.504387,-0.140041,Bombing/Explosion,Explosives,0
33.303566,44.371773,Hostage Taking (Kidnapping),Firearms,2
51.504387,-0.140041,Bombing/Explosion,Explosives,0
51.504387,-0.140041,Bombing/Explosion,Explosives,0
51.504387,-0.140041,Bombing/Explosion,Explosives,0
36.803982,42.093945,Bombing/Explosion,Explosives,44
33.74324,44.623825,Bombing/Explosion,Explosives,8
33.303566,44.371773,Bombing/Explosion,Explosives,160
33.303566,44.371773,Bombing/Explosion,Explosives,4
33.375759,44.702866,Bombing/Explosion,Explosives,30
33.303566,44.371773,Bombing/Explosion,Explosives,10
36.376823,42.448875,Bombing/Explosion,Explosives,6
16.917494,43.762409,Armed Assault,Firearms,12
32.824731,70.067644,Bombing/Explosion,Explosives,8
31.950001,35.933331,Bombing/Explosion,Explosives,20
31.950001,35.933331,Bombing/Explosion,Explosives,20
31.950001,35.933331,Bombing/Explosion,Explosives,21
33.303566,44.371773,Bombing/Explosion,Explosives,35
33.303566,44.371773,Bombing/Explosion,Explosives,36
59.402479,17.944322,Facility/Infrastructure Attack,Incendiary,0
33.303566,44.371773,Hostage Taking (Kidnapping),Unknown,0
33.303566,44.371773,Bombing/Explosion,Explosives,2
23.84422,89.049414,Bombing/Explosion,Explosives,0
23.905927,89.054947,Bombing/Explosion,Explosives,0
36.70993,67.1157,Bombing/Explosion,Explosives,0
34.208416,43.890713,Bombing/Explosion,Explosives,0
25.932228,49.664617,Bombing/Explosion,Explosives,4
33.303566,44.371773,Bombing/Explosion,Explosives,90
33.303566,44.371773,Hostage Taking (Kidnapping),Firearms,1
33.303566,44.371773,Bombing/Explosion,Explosives,6
3.115641,43.64658,Assassination,Explosives,11
32.684554,70.009858,Bombing/Explosion,Explosives,9
31.502407,34.459743,Bombing/Explosion,Explosives,0
33.420948,43.295662,Hostage Taking (Kidnapping),Firearms,1
36.805258,3.813209,Bombing/Explosion,Explosives,0
36.28611,5.60722,Bombing/Explosion,Explosives,15
36.81694,3.85722,Bombing/Explosion,Explosives,0
36.86318,3.88035,Bombing/Explosion,Explosives,0
36.757011,3.482869,Assassination,Firearms,1
36.891243,4.123217,Bombing/Explosion,Explosives,0
36.639167,4.383889,Bombing/Explosion,Explosives,1
36.76029,3.472395,Bombing/Explosion,Explosives,0
36.724419,3.619247,Bombing/Explosion,Explosives,4
36.691273,3.588857,Bombing/Explosion,Explosives,0
36.686703,4.266169,Bombing/Explosion,Explosives,2
36.733333,3.966667,Bombing/Explosion,Explosives,0
36.553405,3.108938,Bombing/Explosion,Explosives,0
36.763763,3.055413,Bombing/Explosion,Explosives,0
36.729435,3.498687,Armed Assault,Firearms,0
36.727778,3.553889,Armed Assault,Firearms,0
36.63709,3.69474,Armed Assault,Firearms,0
36.721944,3.913056,Armed Assault,Firearms,0
36.069432,1.989646,Bombing/Explosion,Explosives,4
33.420948,43.295662,Bombing/Explosion,Chemical,2
33.163559,43.863106,Bombing/Explosion,Chemical,2
33.520717,44.024424,Bombing/Explosion,Chemical,1
33.303566,44.371773,Bombing/Explosion,Explosives,0
33.303566,44.371773,Bombing/Explosion,Explosives,8
36.76029,3.472395,Assassination,Explosives,0
34.949444,6.003611,Armed Assault,Firearms,3
35.05,0.783333,Armed Assault,Firearms,15
36.763763,3.055413,Bombing/Explosion,Explosives,30
33.303566,44.371773,Bombing/Explosion,Explosives,8
36.770538,3.512263,Armed Assault,Firearms,2
33.59,-7.61,Bombing/Explosion,Explosives,2
36.72398,3.670848,Armed Assault,Firearms,0
36.654051,3.679096,Bombing/Explosion,Explosives,0
33.303566,44.371773,Bombing/Explosion,Explosives,127
36.75,5.85,Assassination,Firearms,1
36.651559,3.328976,Armed Assault,Firearms,1
36.192589,44.004623,Bombing/Explosion,Explosives,19
36.866667,6.9,Bombing/Explosion,Explosives,2
36.85,6.05,Bombing/Explosion,Explosives,0
36.35,6.6,Bombing/Explosion,Explosives,1
33.773349,45.14945,Armed Assault,Firearms,16
36.716365,4.049834,Hostage Taking (Kidnapping),Firearms,0
36.604073,3.699024,Armed Assault,Firearms,0
33.74324,44.623825,Bombing/Explosion,Explosives,3
35.303047,44.329933,Bombing/Explosion,Explosives,0
33.303566,44.371773,Assassination,Firearms,1
36.742004,3.726194,Bombing/Explosion,Explosives,1
36.686703,4.266169,Armed Assault,Firearms,1
36.35,6.6,Bombing/Explosion,Explosives,0
36.35,6.6,Bombing/Explosion,Explosives,0
36.8825,4.661944,Bombing/Explosion,Explosives,3
33.693409,44.796085,Hostage Taking (Kidnapping),Firearms,15
32.874886,44.281016,Bombing/Explosion,Explosives,15
33.74324,44.623825,Bombing/Explosion,Explosives,1
34.208416,43.890713,Bombing/Explosion,Explosives,0
34.790665,44.662151,Bombing/Explosion,Explosives,18
36.747752,3.773732,Bombing/Explosion,Explosives,0
55.863239,-4.427852,Armed Assault,Incendiary,1
35.194012,6.915436,Assassination,Melee,1
34.533753,43.483738,Bombing/Explosion,Explosives,1
15.434043,45.48023,Bombing/Explosion,Explosives,9
36.501,3.77396,Unknown,Unknown,1
36.536834,4.215102,Assassination,Explosives,0
36.562222,3.594444,Bombing/Explosion,Explosives,11
36.891243,4.123217,Bombing/Explosion,Explosives,1
33.006516,70.068253,Bombing/Explosion,Explosives,25
36.691273,3.588857,Bombing/Explosion,Explosives,0
36.63059,4.289494,Bombing/Explosion,Explosives,3
36.56522,3.153934,Assassination,Explosives,0
36.202354,41.687168,Bombing/Explosion,Explosives,250
36.183247,41.591599,Bombing/Explosion,Explosives,250
36.748247,3.948864,Bombing/Explosion,Explosives,0
34.208416,43.890713,Armed Assault,Firearms,3
33.74324,44.623825,Hostage Taking (Kidnapping),Firearms,0
35.024167,8.024722,Bombing/Explosion,Melee,6
33.594013,73.069077,Bombing/Explosion,Explosives,18
35.55,6.166667,Bombing/Explosion,Explosives,16
34.417522,3.831195,Assassination,Unknown,1
36.919552,3.891396,Bombing/Explosion,Explosives,30
36.724419,3.619247,Bombing/Explosion,Explosives,0
33.420948,43.295662,Bombing/Explosion,Explosives,3
36.803501,3.563821,Bombing/Explosion,Explosives,3
33.953167,44.921906,Armed Assault,Firearms,14
36.564444,3.154167,Bombing/Explosion,Explosives,1
36.562222,3.594444,Bombing/Explosion,Explosives,1
33.74324,44.623825,Bombing/Explosion,Explosives,20
36.789167,3.677222,Assassination,Firearms,1
36.72398,3.670848,Bombing/Explosion,Explosives,2
36.335801,4.262044,Bombing/Explosion,Explosives,0
36.919552,3.891396,Bombing/Explosion,Explosives,0
33.349159,43.784199,Armed Assault,Firearms,1
33.737099,44.490696,Bombing/Explosion,Explosives,1
31.98958,44.923775,Facility/Infrastructure Attack,Firearms,10
31.98958,44.923775,Facility/Infrastructure Attack,Firearms,10
33.773349,45.14945,Armed Assault,Firearms,1
34.208416,43.890713,Armed Assault,Firearms,6
33.74324,44.623825,Bombing/Explosion,Explosives,7
33.19392,44.408577,Armed Assault,Firearms,14
33.8925,44.709722,Armed Assault,Firearms,22
33.773349,45.14945,Armed Assault,Firearms,22
34.271034,45.163567,Armed Assault,Melee,2
33.74324,44.623825,Armed Assault,Firearms,1
33.953167,44.921906,Unknown,Unknown,4
33.848618,44.522125,Armed Assault,Unknown,5
36.763763,3.055413,Bombing/Explosion,Explosives,20
36.763763,3.055413,Bombing/Explosion,Explosives,19
35.815556,43.443889,Assassination,Firearms,5
36.287615,4.129991,Bombing/Explosion,Explosives,0
36.727778,3.553889,Bombing/Explosion,Explosives,2
36.562222,3.594444,Bombing/Explosion,Explosives,0
36.562222,3.594444,Bombing/Explosion,Explosives,2
33.594013,73.069077,Assassination,Explosives,20
34.057114,44.218292,Armed Assault,Unknown,1
33.74324,44.623825,Bombing/Explosion,Explosives,8
36.745632,3.830243,Bombing/Explosion,Explosives,5
33.848618,44.522125,Armed Assault,Firearms,0
33.303566,44.371773,Unknown,Unknown,1
33.303566,44.371773,Bombing/Explosion,Explosives,90
32.926684,69.920086,Bombing/Explosion,Explosives,7
33.303566,44.371773,Bombing/Explosion,Explosives,11
36.73914,3.901676,Bombing/Explosion,Explosives,3
33.543086,9.970034,Hostage Taking (Kidnapping),Unknown,0
36.680349,4.208192,Armed Assault,Explosives,1
36.772659,5.958971,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,56
31.50547,74.34288,Bombing/Explosion,Explosives,27
33.571807,44.536067,Armed Assault,Firearms,5
35.271023,43.458084,Bombing/Explosion,Explosives,4
34.621521,43.668377,Armed Assault,Firearms,5
33.671638,73.056068,Bombing/Explosion,Explosives,1
33.368418,6.867525,Assassination,Firearms,2
15.325443,44.211895,Bombing/Explosion,Explosives,2
34.621521,43.668377,Armed Assault,Unknown,4
34.186336,45.126056,Bombing/Explosion,Explosives,1
33.74324,44.623825,Bombing/Explosion,Explosives,0
36.891243,4.123217,Armed Assault,Firearms,1
15.325443,44.211895,Bombing/Explosion,Explosives,0
33.303566,44.371773,Unknown,Unknown,4
33.693947,45.067425,Bombing/Explosion,Explosives,7
36.562222,3.594444,Bombing/Explosion,Explosives,1
33.693947,45.067425,Bombing/Explosion,Explosives,6
33.74324,44.623825,Armed Assault,Firearms,0
15.45639,45.324871,Armed Assault,Firearms,1
34.010471,44.148235,Armed Assault,Firearms,4
15.45639,45.324871,Bombing/Explosion,Explosives,0
33.420948,43.295662,Bombing/Explosion,Explosives,14
33.74324,44.623825,Bombing/Explosion,Explosives,42
15.964205,48.78252,Bombing/Explosion,Explosives,0
36.535577,3.834176,Hostage Taking (Kidnapping),Unknown,1
33.693947,45.067425,Bombing/Explosion,Explosives,36
33.693947,45.067425,Hostage Taking (Kidnapping),Unknown,0
36.266667,2.75,Armed Assault,Firearms,9
33.303566,44.371773,Armed Assault,Firearms,1
36.727778,3.553889,Hostage Taking (Kidnapping),Incendiary,0
33.744999,45.545616,Assassination,Explosives,2
12.825647,44.846416,Bombing/Explosion,Explosives,0
36.737011,6.716271,Bombing/Explosion,Explosives,1
36.740312,3.174597,Bombing/Explosion,Explosives,0
36.740312,3.174597,Bombing/Explosion,Explosives,1
34.347343,45.383274,Armed Assault,Firearms,5
36.562222,3.594444,Bombing/Explosion,Explosives,2
36.562222,3.594444,Bombing/Explosion,Explosives,10
36.66774,3.59115,Bombing/Explosion,Explosives,2
34.023571,44.031361,Unknown,Unknown,4
33.773349,45.14945,Hostage Taking (Kidnapping),Unknown,0
35.210234,4.188366,Unknown,Unknown,3
36.845,4.573889,Bombing/Explosion,Explosives,0
36.845,4.573889,Bombing/Explosion,Explosives,2
36.526829,4.277452,Bombing/Explosion,Explosives,2
41.106178,28.689863,Armed Assault,Firearms,6
36.79778,3.7175,Bombing/Explosion,Explosives,0
36.501,3.77396,Bombing/Explosion,Explosives,0
33.716995,44.679516,Hostage Taking (Kidnapping),Firearms,1
36.562222,3.594444,Bombing/Explosion,Explosives,1
33.303566,44.371773,Armed Assault,Firearms,7
33.303566,44.371773,Bombing/Explosion,Explosives,24
33.303566,44.371773,Bombing/Explosion,Explosives,8
36.716365,4.049834,Bombing/Explosion,Explosives,1
36.802253,3.565254,Bombing/Explosion,Explosives,9
36.772659,5.958971,Assassination,Explosives,3
36.72398,3.670848,Bombing/Explosion,Explosives,44
36.37489,3.902,Bombing/Explosion,Explosives,12
36.37489,3.902,Bombing/Explosion,Explosives,3
33.716995,44.679516,Hostage Taking (Kidnapping),Unknown,0
35.55,6.166667,Armed Assault,Firearms,7
36.74472,4.37222,Bombing/Explosion,Explosives,0
22.734151,-12.467545,Hostage Taking (Kidnapping),Melee,12
15.325443,44.211895,Bombing/Explosion,Explosives,16
33.303566,44.371773,Bombing/Explosion,Explosives,2
36.75,5.85,Bombing/Explosion,Explosives,0
33.74324,44.623825,Hostage Taking (Kidnapping),Firearms,0
36.723166,3.914166,Armed Assault,Firearms,2
33.303566,44.371773,Bombing/Explosion,Explosives,12
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,8
33.303566,44.371773,Bombing/Explosion,Explosives,8
36.919552,3.891396,Bombing/Explosion,Explosives,4
35.870833,2.028889,Armed Assault,Firearms,6
33.571743,44.536211,Armed Assault,Firearms,2
36.178248,5.458124,Bombing/Explosion,Explosives,2
36.8,4.266667,Hostage Taking (Kidnapping),Firearms,1
15.325443,44.211895,Bombing/Explosion,Explosives,1
36.8,4.266667,Assassination,Unknown,1
36.767596,3.7029,Armed Assault,Firearms,1
33.303566,44.371773,Bombing/Explosion,Explosives,32
33.303566,44.371773,Bombing/Explosion,Explosives,0
33.303566,44.371773,Bombing/Explosion,Explosives,0
13.511596,2.125385,Hostage Taking (Kidnapping),Firearms,0
35.905778,0.774386,Bombing/Explosion,Explosives,3
33.403057,43.911865,Facility/Infrastructure Attack,Incendiary,0
36.266667,2.216667,Armed Assault,Melee,1
15.0408,2.705,Hostage Taking (Kidnapping),Firearms,1
35.407139,8.120864,Bombing/Explosion,Explosives,7
36.673564,5.481713,Bombing/Explosion,Explosives,9
33.31065,44.038208,Bombing/Explosion,Explosives,34
34.347343,45.383274,Armed Assault,Firearms,1
34.96725,7.907657,Bombing/Explosion,Melee,1
15.914915,48.650745,Bombing/Explosion,Explosives,7
34.96725,7.907657,Bombing/Explosion,Explosives,4
35.1575,8.195556,Bombing/Explosion,Explosives,2
15.325443,44.211895,Bombing/Explosion,Explosives,1
34.485829,7.518017,Bombing/Explosion,Explosives,1
34.271034,45.163567,Bombing/Explosion,Explosives,16
36.522222,4.203056,Armed Assault,Firearms,2
36.893792,4.420652,Unknown,Unknown,1
33.303566,44.371773,Bombing/Explosion,Explosives,6
33.303566,44.371773,Bombing/Explosion,Explosives,10
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,4
33.303566,44.371773,Bombing/Explosion,Explosives,12
33.303566,44.371773,Bombing/Explosion,Explosives,12
33.303566,44.371773,Bombing/Explosion,Explosives,12
33.303566,44.371773,Bombing/Explosion,Explosives,7
36.742004,3.726194,Bombing/Explosion,Explosives,0
33.74324,44.623825,Bombing/Explosion,Explosives,0
36.786668,3.603268,Armed Assault,Firearms,2
36.79885,6.15721,Bombing/Explosion,Explosives,0
36.672703,3.809529,Bombing/Explosion,Explosives,10
13.707198,1.77831,Hostage Taking (Kidnapping),Unknown,0
16.77532,-3.008265,Armed Assault,Firearms,1
36.077754,4.462888,Bombing/Explosion,Explosives,19
35.036841,7.021988,Armed Assault,Melee,5
18.079275,-15.965107,Hostage Taking (Kidnapping),Firearms,1
16.266667,-0.05,Unknown,Unknown,28
35.584338,5.860815,Bombing/Explosion,Explosives,0
36.919552,3.891396,Bombing/Explosion,Explosives,1
35.400171,0.139933,Unknown,Unknown,2
18.079275,-15.965107,Bombing/Explosion,Explosives,1
36.72398,3.670848,Bombing/Explosion,Explosives,43
21.543155,39.174905,Assassination,Explosives,1
36.592604,4.487702,Bombing/Explosion,Explosives,0
36.519439,4.146745,Armed Assault,Firearms,1
36.612083,3.98778,Armed Assault,Firearms,7
33.74324,44.623825,Assassination,Explosives,0
36.866624,4.249595,Hostage Taking (Kidnapping),Firearms,0
14.681553,48.851287,Armed Assault,Firearms,5
33.74324,44.623825,Assassination,Firearms,2
15.914432,2.397368,Hostage Taking (Kidnapping),Firearms,0
18.1,-15.95,Hostage Taking (Kidnapping),Firearms,0
34.621521,43.668377,Assassination,Explosives,6
33.303566,44.371773,Bombing/Explosion,Explosives,26
33.303566,44.371773,Bombing/Explosion,Explosives,26
33.303566,44.371773,Bombing/Explosion,Explosives,26
33.303566,44.371773,Bombing/Explosion,Explosives,27
33.303566,44.371773,Bombing/Explosion,Explosives,27
36.376823,42.448875,Bombing/Explosion,Explosives,2
42.331685,-83.047924,Bombing/Explosion,Explosives,0
15.6207,4.7832,Unknown,Unknown,4
27.560076,68.215714,Hostage Taking (Kidnapping),Unknown,0
17.905421,6.04542,Hostage Taking (Kidnapping),Unknown,1
33.303566,44.371773,Bombing/Explosion,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,5
33.303566,44.371773,Bombing/Explosion,Explosives,6
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,0
33.303566,44.371773,Bombing/Explosion,Explosives,20
33.303566,44.371773,Bombing/Explosion,Explosives,19
36.188889,42.8025,Bombing/Explosion,Explosives,0
15.325443,44.211895,Assassination,Explosives,1
30.510054,47.778095,Bombing/Explosion,Explosives,12
30.510054,47.778095,Bombing/Explosion,Explosives,6
32.469238,44.416637,Bombing/Explosion,Explosives,43
36.724419,3.619247,Bombing/Explosion,Explosives,2
15.45639,45.324871,Bombing/Explosion,Explosives,0
12.825647,44.846416,Armed Assault,Firearms,13
22.785,5.52278,Unknown,Unknown,11
13.129726,45.385571,Assassination,Firearms,1
33.31065,44.038208,Bombing/Explosion,Explosives,1
33.31065,44.038208,Bombing/Explosion,Explosives,1
33.31065,44.038208,Bombing/Explosion,Explosives,1
33.31065,44.038208,Bombing/Explosion,Explosives,0
33.31065,44.038208,Bombing/Explosion,Explosives,0
36.73914,3.901676,Bombing/Explosion,Explosives,4
13.129726,45.385571,Bombing/Explosion,Firearms,2
13.129726,45.385571,Armed Assault,Firearms,3
33.303566,44.371773,Bombing/Explosion,Explosives,43
34.363503,41.115997,Assassination,Explosives,5
14.52618,46.844932,Armed Assault,Firearms,5
14.52618,46.844932,Armed Assault,Firearms,9
36.662321,4.079895,Bombing/Explosion,Explosives,2
15.325443,44.211895,Armed Assault,Explosives,3
33.303566,44.371773,Bombing/Explosion,Explosives,8
33.303566,44.371773,Bombing/Explosion,Explosives,8
12.838674,44.868883,Bombing/Explosion,Explosives,1
13.683741,46.081752,Armed Assault,Firearms,3
