latitude,longitude,Attacktype,Deaths,nkill,nkill2
12.852693,44.894836,Bombing/Explosion,2,2,0.477121255
12.852693,44.894836,Bombing/Explosion,1,1,0.301029996
-1.28518,36.821107,Bombing/Explosion,224,224,2.352182518
-6.813546,39.239418,Bombing/Explosion,11,11,1.079181246
12.825647,44.846416,Bombing/Explosion,0,0.5,0.176091259
12.825647,44.846416,Bombing/Explosion,19,19,1.301029996
40.697132,-73.931351,Hijacking,1385,1385,3.14176323
40.697132,-73.931351,Hijacking,1385,1385,3.14176323
38.878742,-77.100006,Hijacking,190,190,2.281033367
40.018464,-78.907197,Hijacking,44,44,1.653212514
48.856644,2.34233,Bombing/Explosion,0,0.5,0.176091259
33.671638,73.056068,Bombing/Explosion,5,5,0.77815125
34.417122,70.449593,Bombing/Explosion,10,10,1.041392685
33.819136,10.855024,Bombing/Explosion,21,21,1.342422681
24.891115,67.143311,Bombing/Explosion,14,14,1.176091259
31.002735,66.405617,Bombing/Explosion,19,19,1.301029996
31.631083,65.742226,Assassination,3,3,0.602059991
34.516895,69.147011,Bombing/Explosion,10,10,1.041392685
25.389288,68.357338,Bombing/Explosion,1,1,0.301029996
12.533136,47.922339,Bombing/Explosion,1,1,0.301029996
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
31.631083,65.742226,Bombing/Explosion,0,0.5,0.176091259
-4.090508,39.647758,Bombing/Explosion,16,16,1.230448921
-4.041179,39.677612,Bombing/Explosion,0,0.5,0.176091259
34.516895,69.147011,Bombing/Explosion,0,0.5,0.176091259
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
31.631083,65.742226,Bombing/Explosion,3,3,0.602059991
31.631083,65.742226,Bombing/Explosion,0,0.5,0.176091259
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
34.417122,70.449593,Bombing/Explosion,0,0.5,0.176091259
31.631083,65.742226,Bombing/Explosion,0,0.5,0.176091259
24.64732,46.714581,Bombing/Explosion,12,12,1.113943352
24.64732,46.714581,Bombing/Explosion,11,11,1.079181246
24.64732,46.714581,Bombing/Explosion,11,11,1.079181246
24.64732,46.714581,Bombing/Explosion,0,0.5,0.176091259
