latitude,longitude,Attacktype,Deaths,nkill
12.852693,44.894836,Bombing/Explosion,2,4
12.852693,44.894836,Bombing/Explosion,1,4
-1.28518,36.821107,Bombing/Explosion,224,224
-6.813546,39.239418,Bombing/Explosion,11,11
12.825647,44.846416,Bombing/Explosion,0,4
12.825647,44.846416,Bombing/Explosion,19,19
40.697132,-73.931351,Hijacking,1385,1385
40.697132,-73.931351,Hijacking,1385,1385
38.878742,-77.100006,Hijacking,190,190
40.018464,-78.907197,Hijacking,44,44
48.856644,2.34233,Bombing/Explosion,0,4
33.671638,73.056068,Bombing/Explosion,5,5
34.417122,70.449593,Bombing/Explosion,10,10
33.819136,10.855024,Bombing/Explosion,21,21
24.891115,67.143311,Bombing/Explosion,14,14
31.002735,66.405617,Bombing/Explosion,19,19
31.631083,65.742226,Assassination,3,4
34.516895,69.147011,Bombing/Explosion,10,10
25.389288,68.357338,Bombing/Explosion,1,4
12.533136,47.922339,Bombing/Explosion,1,4
34.417122,70.449593,Bombing/Explosion,0,4
31.631083,65.742226,Bombing/Explosion,0,4
-4.090508,39.647758,Bombing/Explosion,16,16
-4.041179,39.677612,Bombing/Explosion,0,4
34.516895,69.147011,Bombing/Explosion,0,4
34.417122,70.449593,Bombing/Explosion,0,4
34.417122,70.449593,Bombing/Explosion,0,4
34.417122,70.449593,Bombing/Explosion,0,4
31.631083,65.742226,Bombing/Explosion,3,4
31.631083,65.742226,Bombing/Explosion,0,4
34.417122,70.449593,Bombing/Explosion,0,4
34.417122,70.449593,Bombing/Explosion,0,4
31.631083,65.742226,Bombing/Explosion,0,4
24.64732,46.714581,Bombing/Explosion,12,12
24.64732,46.714581,Bombing/Explosion,11,11
24.64732,46.714581,Bombing/Explosion,11,11
24.64732,46.714581,Bombing/Explosion,0,4
34.516895,69.147011,Bombing/Explosion,6,6
31.60063,64.369652,Bombing/Explosion,17,17
16.893194,42.57526,Armed Assault,4,4
33.303566,44.371773,Bombing/Explosion,7,7
24.64732,46.714581,Bombing/Explosion,17,17
41.106178,28.689863,Bombing/Explosion,16,16
41.106178,28.689863,Bombing/Explosion,16,16
33.594013,73.069077,Assassination,15,15
40.465595,-3.696263,Bombing/Explosion,37,37
40.465595,-3.696263,Bombing/Explosion,73,73
40.465595,-3.696263,Bombing/Explosion,19,19
40.465595,-3.696263,Bombing/Explosion,0,4
40.465595,-3.696263,Bombing/Explosion,0,4
40.465595,-3.696263,Bombing/Explosion,62,62
34.006004,71.53743,Bombing/Explosion,0,4
24.089097,38.063963,Armed Assault,10,10
26.218399,50.195902,Hostage Taking (Barricade Incident),22,22
32.687926,69.832993,Bombing/Explosion,0,4
32.306099,69.579956,Armed Assault,24,24
24.64732,46.714581,Armed Assault,1,4
24.64732,46.714581,Hostage Taking (Kidnapping),1,4
32.386811,69.689823,Bombing/Explosion,1,4
32.306099,69.579956,Bombing/Explosion,2,4
33.744999,45.545616,Armed Assault,50,50
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Hostage Taking (Kidnapping),1,4
33.303566,44.371773,Facility/Infrastructure Attack,13,13
21.543155,39.174905,Armed Assault,9,9
33.303566,44.371773,Bombing/Explosion,2,4
35.064873,43.551613,Facility/Infrastructure Attack,0,4
32.622868,69.839325,Bombing/Explosion,1,4
24.64732,46.714581,Bombing/Explosion,8,8
33.303566,44.371773,Assassination,2,4
33.303566,44.371773,Assassination,2,4
34.621521,43.668377,Bombing/Explosion,8,8
30.510054,47.778095,Bombing/Explosion,3,4
33.303566,44.371773,Hostage Taking (Kidnapping),0,4
36.354145,43.14357,Bombing/Explosion,12,12
33.303566,44.371773,Bombing/Explosion,21,21
32.777344,44.289352,Bombing/Explosion,18,18
33.74324,44.623825,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,7,7
33.303566,44.371773,Assassination,9,9
34.010471,44.148235,Bombing/Explosion,16,16
33.74324,44.623825,Bombing/Explosion,11,11
35.45211,44.375465,Bombing/Explosion,0,4
36.354145,43.14357,Assassination,4,4
32.000596,44.330818,Hostage Taking (Kidnapping),1,4
33.303566,44.371773,Bombing/Explosion,20,20
33.303566,44.371773,Bombing/Explosion,1,4
33.31065,44.038208,Bombing/Explosion,10,10
34.621521,43.668377,Bombing/Explosion,6,6
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,4,4
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,22,22
33.420948,43.295662,Hostage Taking (Kidnapping),1,4
33.303566,44.371773,Bombing/Explosion,15,15
33.303566,44.371773,Assassination,1,4
33.303566,44.371773,Assassination,1,4
33.303566,44.371773,Assassination,2,4
33.303566,44.371773,Bombing/Explosion,11,11
32.469238,44.416637,Bombing/Explosion,34,34
32.469238,44.416637,Bombing/Explosion,27,27
31.631083,65.742226,Bombing/Explosion,21,21
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,23,23
33.303566,44.371773,Assassination,5,5
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,20,20
32.469238,44.416637,Bombing/Explosion,8,8
33.303566,44.371773,Bombing/Explosion,0,4
33.303566,44.371773,Hostage Taking (Kidnapping),0,4
33.303566,44.371773,Armed Assault,0,4
33.303566,44.371773,Armed Assault,0,4
51.504387,-0.140041,Bombing/Explosion,8,8
51.504387,-0.140041,Bombing/Explosion,27,27
51.504387,-0.140041,Bombing/Explosion,7,7
51.504387,-0.140041,Bombing/Explosion,14,14
33.303566,44.371773,Assassination,1,4
33.287345,44.319487,Bombing/Explosion,25,25
33.848618,44.522125,Armed Assault,12,12
33.848618,44.522125,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,8,8
33.303566,44.371773,Assassination,3,4
51.504387,-0.140041,Bombing/Explosion,0,4
33.303566,44.371773,Hostage Taking (Kidnapping),2,4
51.504387,-0.140041,Bombing/Explosion,0,4
51.504387,-0.140041,Bombing/Explosion,0,4
51.504387,-0.140041,Bombing/Explosion,0,4
36.803982,42.093945,Bombing/Explosion,44,44
33.74324,44.623825,Bombing/Explosion,8,8
33.303566,44.371773,Bombing/Explosion,160,160
33.303566,44.371773,Bombing/Explosion,4,4
33.375759,44.702866,Bombing/Explosion,30,30
33.303566,44.371773,Bombing/Explosion,10,10
36.376823,42.448875,Bombing/Explosion,6,6
16.917494,43.762409,Armed Assault,12,12
32.824731,70.067644,Bombing/Explosion,8,8
31.950001,35.933331,Bombing/Explosion,20,20
31.950001,35.933331,Bombing/Explosion,20,20
31.950001,35.933331,Bombing/Explosion,21,21
33.303566,44.371773,Bombing/Explosion,35,35
33.303566,44.371773,Bombing/Explosion,36,36
59.402479,17.944322,Facility/Infrastructure Attack,0,4
33.303566,44.371773,Hostage Taking (Kidnapping),0,4
33.303566,44.371773,Bombing/Explosion,2,4
23.84422,89.049414,Bombing/Explosion,0,4
23.905927,89.054947,Bombing/Explosion,0,4
36.70993,67.1157,Bombing/Explosion,0,4
34.208416,43.890713,Bombing/Explosion,0,4
25.932228,49.664617,Bombing/Explosion,4,4
33.303566,44.371773,Bombing/Explosion,90,90
33.303566,44.371773,Hostage Taking (Kidnapping),1,4
33.303566,44.371773,Bombing/Explosion,6,6
3.115641,43.64658,Assassination,11,11
32.684554,70.009858,Bombing/Explosion,9,9
31.502407,34.459743,Bombing/Explosion,0,4
33.420948,43.295662,Hostage Taking (Kidnapping),1,4
36.805258,3.813209,Bombing/Explosion,0,4
36.28611,5.60722,Bombing/Explosion,15,15
36.81694,3.85722,Bombing/Explosion,0,4
36.86318,3.88035,Bombing/Explosion,0,4
36.757011,3.482869,Assassination,1,4
36.891243,4.123217,Bombing/Explosion,0,4
36.639167,4.383889,Bombing/Explosion,1,4
36.76029,3.472395,Bombing/Explosion,0,4
36.724419,3.619247,Bombing/Explosion,4,4
36.691273,3.588857,Bombing/Explosion,0,4
36.686703,4.266169,Bombing/Explosion,2,4
36.733333,3.966667,Bombing/Explosion,0,4
36.553405,3.108938,Bombing/Explosion,0,4
36.763763,3.055413,Bombing/Explosion,0,4
36.729435,3.498687,Armed Assault,0,4
36.727778,3.553889,Armed Assault,0,4
36.63709,3.69474,Armed Assault,0,4
36.721944,3.913056,Armed Assault,0,4
36.069432,1.989646,Bombing/Explosion,4,4
33.420948,43.295662,Bombing/Explosion,2,4
33.163559,43.863106,Bombing/Explosion,2,4
33.520717,44.024424,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,0,4
33.303566,44.371773,Bombing/Explosion,8,8
36.76029,3.472395,Assassination,0,4
34.949444,6.003611,Armed Assault,3,4
35.05,0.783333,Armed Assault,15,15
36.763763,3.055413,Bombing/Explosion,30,30
33.303566,44.371773,Bombing/Explosion,8,8
36.770538,3.512263,Armed Assault,2,4
33.59,-7.61,Bombing/Explosion,2,4
36.72398,3.670848,Armed Assault,0,4
36.654051,3.679096,Bombing/Explosion,0,4
33.303566,44.371773,Bombing/Explosion,127,127
36.75,5.85,Assassination,1,4
36.651559,3.328976,Armed Assault,1,4
36.192589,44.004623,Bombing/Explosion,19,19
36.866667,6.9,Bombing/Explosion,2,4
36.85,6.05,Bombing/Explosion,0,4
36.35,6.6,Bombing/Explosion,1,4
33.773349,45.14945,Armed Assault,16,16
36.716365,4.049834,Hostage Taking (Kidnapping),0,4
36.604073,3.699024,Armed Assault,0,4
33.74324,44.623825,Bombing/Explosion,3,4
35.303047,44.329933,Bombing/Explosion,0,4
33.303566,44.371773,Assassination,1,4
36.742004,3.726194,Bombing/Explosion,1,4
36.686703,4.266169,Armed Assault,1,4
36.35,6.6,Bombing/Explosion,0,4
36.35,6.6,Bombing/Explosion,0,4
