year,attacktype,deaths
1992,Bombing/Explosion,2
1992,Bombing/Explosion,1
1998,Bombing/Explosion,224
1998,Bombing/Explosion,11
2000,Bombing/Explosion,0
2000,Bombing/Explosion,19
2001,Hijacking,1385
2001,Hijacking,1385
2001,Hijacking,190
2001,Hijacking,44
2001,Bombing/Explosion,0
2002,Bombing/Explosion,5
2002,Bombing/Explosion,10
2002,Bombing/Explosion,21
2002,Bombing/Explosion,14
2002,Bombing/Explosion,19
2002,Assassination,3
2002,Bombing/Explosion,10
2002,Bombing/Explosion,1
2002,Bombing/Explosion,1
2002,Bombing/Explosion,0
2002,Bombing/Explosion,0
2002,Bombing/Explosion,16
2002,Bombing/Explosion,0
2002,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,3
2003,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,0
2003,Bombing/Explosion,12
2003,Bombing/Explosion,11
2003,Bombing/Explosion,11
2003,Bombing/Explosion,0
2003,Bombing/Explosion,6
2003,Bombing/Explosion,17
2003,Armed Assault,4
2003,Bombing/Explosion,7
2003,Hostage Taking (Kidnapping),0
2003,Bombing/Explosion,17
2003,Bombing/Explosion,16
2003,Bombing/Explosion,16
2003,Assassination,15
2004,Bombing/Explosion,37
2004,Bombing/Explosion,73
2004,Bombing/Explosion,19
2004,Bombing/Explosion,0
2004,Bombing/Explosion,0
2004,Bombing/Explosion,62
2004,Bombing/Explosion,0
2004,Armed Assault,10
2004,Hostage Taking (Barricade Incident),22
2004,Bombing/Explosion,0
2004,Armed Assault,24
2004,Armed Assault,1
2004,Hostage Taking (Kidnapping),1
2004,Bombing/Explosion,1
2004,Bombing/Explosion,2
2004,Armed Assault,50
2004,Bombing/Explosion,3
2004,Hostage Taking (Kidnapping),1
2004,Facility/Infrastructure Attack,13
2004,Armed Assault,9
2004,Bombing/Explosion,2
2004,Facility/Infrastructure Attack,0
2004,Bombing/Explosion,1
2004,Bombing/Explosion,8
2005,Assassination,2
2005,Assassination,2
2005,Bombing/Explosion,8
2005,Bombing/Explosion,3
2005,Bombing/Explosion,12
2005,Hostage Taking (Kidnapping),0
2005,Bombing/Explosion,12
2005,Bombing/Explosion,21
2005,Bombing/Explosion,18
2005,Bombing/Explosion,3
2005,Bombing/Explosion,7
2005,Assassination,9
2005,Bombing/Explosion,16
2005,Bombing/Explosion,11
2005,Bombing/Explosion,0
2005,Assassination,4
2005,Hostage Taking (Kidnapping),1
2005,Bombing/Explosion,20
2005,Bombing/Explosion,1
2005,Bombing/Explosion,10
2005,Bombing/Explosion,6
2005,Bombing/Explosion,3
2005,Bombing/Explosion,3
2005,Bombing/Explosion,4
2005,Bombing/Explosion,3
2005,Hostage Taking (Kidnapping),
2005,Bombing/Explosion,22
2005,Hostage Taking (Kidnapping),1
2005,Bombing/Explosion,15
2005,Assassination,1
2005,Assassination,1
2005,Assassination,2
2005,Bombing/Explosion,11
2005,Bombing/Explosion,34
2005,Bombing/Explosion,27
2005,Bombing/Explosion,21
2005,Bombing/Explosion,1
2005,Bombing/Explosion,3
2005,Bombing/Explosion,23
2005,Assassination,5
2005,Bombing/Explosion,2
2005,Bombing/Explosion,20
2005,Bombing/Explosion,8
2005,Bombing/Explosion,0
2005,Hostage Taking (Kidnapping),0
2005,Armed Assault,0
2005,Armed Assault,0
2005,Bombing/Explosion,8
2005,Bombing/Explosion,27
2005,Bombing/Explosion,7
2005,Bombing/Explosion,14
2005,Assassination,1
2005,Bombing/Explosion,25
2005,Armed Assault,12
2005,Bombing/Explosion,2
2005,Bombing/Explosion,3
2005,Bombing/Explosion,8
2005,Assassination,3
2005,Bombing/Explosion,0
2005,Hostage Taking (Kidnapping),2
2005,Bombing/Explosion,0
2005,Bombing/Explosion,0
2005,Bombing/Explosion,0
2005,Bombing/Explosion,44
2005,Bombing/Explosion,8
2005,Bombing/Explosion,160
2005,Bombing/Explosion,4
2005,Bombing/Explosion,30
2005,Bombing/Explosion,10
2005,Bombing/Explosion,6
2005,Hostage Taking (Kidnapping),1
2005,Armed Assault,12
2005,Bombing/Explosion,8
2005,Bombing/Explosion,20
2005,Bombing/Explosion,20
2005,Bombing/Explosion,21
2005,Bombing/Explosion,35
2005,Bombing/Explosion,36
2005,Facility/Infrastructure Attack,0
2005,Hostage Taking (Kidnapping),0
2006,Bombing/Explosion,2
2006,Bombing/Explosion,0
2006,Bombing/Explosion,0
2006,Bombing/Explosion,0
2006,Bombing/Explosion,0
2006,Bombing/Explosion,4
2006,Bombing/Explosion,90
2006,Hostage Taking (Kidnapping),1
2006,Bombing/Explosion,6
2006,Assassination,11
2006,Bombing/Explosion,9
2007,Bombing/Explosion,0
2007,Hostage Taking (Kidnapping),1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,15
2007,Bombing/Explosion,0
2007,Bombing/Explosion,0
2007,Assassination,1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,4
2007,Bombing/Explosion,0
2007,Bombing/Explosion,2
2007,Bombing/Explosion,0
2007,Bombing/Explosion,0
2007,Bombing/Explosion,0
2007,Armed Assault,0
2007,Armed Assault,0
2007,Armed Assault,0
2007,Armed Assault,0
2007,Bombing/Explosion,4
2007,Bombing/Explosion,9
2007,Bombing/Explosion,2
2007,Bombing/Explosion,2
2007,Bombing/Explosion,1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,8
2007,Assassination,0
2007,Armed Assault,3
2007,Armed Assault,15
2007,Bombing/Explosion,30
2007,Bombing/Explosion,8
2007,Armed Assault,2
2007,Bombing/Explosion,2
2007,Armed Assault,0
2007,Bombing/Explosion,0
2007,Bombing/Explosion,127
2007,Assassination,1
2007,Armed Assault,1
2007,Bombing/Explosion,19
2007,Bombing/Explosion,2
2007,Bombing/Explosion,0
2007,Bombing/Explosion,1
2007,Armed Assault,16
2007,Hostage Taking (Kidnapping),0
2007,Armed Assault,0
2007,Bombing/Explosion,3
2007,Bombing/Explosion,0
2007,Assassination,1
2007,Bombing/Explosion,1
2007,Armed Assault,1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,0
2007,Bombing/Explosion,3
2007,Hostage Taking (Kidnapping),15
2007,Bombing/Explosion,15
2007,Bombing/Explosion,1
2007,Bombing/Explosion,0
2007,Bombing/Explosion,18
2007,Bombing/Explosion,0
2007,Armed Assault,1
2007,Assassination,1
2007,Bombing/Explosion,1
2007,Bombing/Explosion,9
2007,Unknown,1
2007,Assassination,0
2007,Bombing/Explosion,11
2007,Bombing/Explosion,1
2007,Bombing/Explosion,25
2007,Bombing/Explosion,0
2007,Bombing/Explosion,3
